|__name,|__business_status,|__geometry__location__lat,|__geometry__location__lng,|__geometry__viewport__|,|__place_id,|__vicinity,|__opening_hours__open_now,|__permanently_closed
Rosa Mexicano,CLOSED_TEMPORARILY,40.7383594,-73.9907798,northeast,ChIJb7W-WqJZwokRhJujP6urKAI,"9 East 18th Street, New York",,TRUE
,,,,southwest,,,,
Lillie's Victorian Establishment,OPERATIONAL,40.7376883,-73.9911216,northeast,ChIJHej6Z6JZwokRqvLB5IfS6Nc,"13 East 17th Street, New York",FALSE,
,,,,southwest,,,,
Friend Of A Farmer,OPERATIONAL,40.7368776,-73.9868623,northeast,ChIJb85ryKFZwokRaCJqC07E0G0,"77 Irving Place, New York",FALSE,
,,,,southwest,,,,
Barbounia,OPERATIONAL,40.7383263,-73.9880646,northeast,ChIJafcWm6FZwokRAD6WiHiQdpE,"250 Park Avenue South, New York",TRUE,
,,,,southwest,,,,
Bounce Sporting Club,OPERATIONAL,40.741477,-73.99307,northeast,ChIJO_uSYKNZwokRAC7RLeB0oZ8,"55 West 21st Street, New York",TRUE,
,,,,southwest,,,,
Doughnut Plant,CLOSED_TEMPORARILY,40.7443264,-73.9967144,northeast,ChIJPTYLHLtZwokRdnfW82RHomw,"220 West 23rd Street, New York",,TRUE
,,,,southwest,,,,
The Ainsworth - Chelsea,OPERATIONAL,40.7451811,-73.9925803,northeast,ChIJTWH6EaVZwokR3MY-5qOBwkc,"122 West 26th Street, New York",FALSE,
,,,,southwest,,,,
Cafeteria,OPERATIONAL,40.7405304,-73.9979937,northeast,ChIJ329uV7xZwokRfM6dcDcOtKY,"119 7th Avenue, New York",TRUE,
,,,,southwest,,,,
ABC Kitchen,OPERATIONAL,40.737775,-73.9896167,northeast,ChIJSXmIIqJZwokRIhhDroV3qX8,"35 East 18th Street, New York",FALSE,
,,,,southwest,,,,
Potbelly Sandwich Shop,OPERATIONAL,40.7373536,-73.9911307,northeast,ChIJJaUab6JZwokRTwZjYIXeiac,"22 East 17th Street, New York",TRUE,
,,,,southwest,,,,
Dos Caminos,OPERATIONAL,40.7422656,-73.9846082,northeast,ChIJWYrDEqdZwokRrPdal8G23KA,"373 Park Avenue South, New York",TRUE,
,,,,southwest,,,,
ILILI,OPERATIONAL,40.7443583,-73.9877361,northeast,ChIJMTEubKZZwokRgjl8iXjVcLA,"236 5th Avenue, New York",FALSE,
,,,,southwest,,,,
Blossom on University,OPERATIONAL,40.7332505,-73.993674,northeast,ChIJxZaHoLlZwokR6cv5Gqz_-5s,"72 University Place, New York",TRUE,
,,,,southwest,,,,
Craftbar,CLOSED_TEMPORARILY,40.7381202,-73.9887274,northeast,ChIJ7ZjZzaNZwokR1avg50N7ORg,"47 East 19th Street, New York",,TRUE
,,,,southwest,,,,
The Grey Dog,OPERATIONAL,40.7337952,-73.993199,northeast,ChIJTaeWt5lZwokRj5-44r7fWgY,"90 University Place, New York",TRUE,
,,,,southwest,,,,
Gotham,CLOSED_TEMPORARILY,40.734199,-73.9936942,northeast,ChIJZ72FzplZwokRmcA7CQzDMj0,"12 East 12th Street, New York",,TRUE
,,,,southwest,,,,
Murray's Bagels,OPERATIONAL,40.7363806,-73.9972889,northeast,ChIJw94eyZdZwokRIFFh8Jtcoa8,"500 6th Avenue, New York",TRUE,
,,,,southwest,,,,
L'Express,OPERATIONAL,40.7381523,-73.987657,northeast,ChIJb9HznqFZwokRHWxf3DbskaI,"249 Park Avenue South, New York",TRUE,
,,,,southwest,,,,
Alta,OPERATIONAL,40.7344108,-73.9982001,northeast,ChIJV1Pf5JZZwokRjb-Dsy8ZY9E,"64 West 10th Street, New York",FALSE,
,,,,southwest,,,,
Hillstone,OPERATIONAL,40.742659,-73.9848365,northeast,ChIJOf_8DadZwokR09CnvunhVtA,"378 Park Avenue South, New York",TRUE,
,,,,southwest,,,,
Craft,OPERATIONAL,40.7381658,-73.9886678,northeast,ChIJaQ41hqFZwokRVms_0-JiwQY,"43 East 19th Street, New York",FALSE,
,,,,southwest,,,,
ZiZi,OPERATIONAL,40.7429063,-73.9999607,northeast,ChIJJ4g5hF9ZwokRQSbCooRn50w,"182 8th Avenue, New York",FALSE,
,,,,southwest,,,,
Bar 13,OPERATIONAL,40.7346345,-73.9919443,northeast,ChIJ0ex6VphZwokRWryDn0SYe1g,"121 University Place, New York",FALSE,
,,,,southwest,,,,
Outback Steakhouse,OPERATIONAL,40.7423769,-73.992369,northeast,ChIJe6EXjKRZwokRPMPx5ZhkR-E,"60 West 23rd Street, New York",TRUE,
,,,,southwest,,,,
Old Town Bar,OPERATIONAL,40.7376111,-73.9891583,northeast,ChIJw-9BIqJZwokRJHawGH7Y_kc,"45 East 18th Street, New York",TRUE,
,,,,southwest,,,,
Almond,CLOSED_TEMPORARILY,40.740081,-73.9887509,northeast,ChIJu0rmWKFZwokRJUArNmE6uh4,"12 East 22nd Street, New York",,TRUE
,,,,southwest,,,,
15 EAST @ Tocqueville,OPERATIONAL,40.7366772,-73.9927131,northeast,ChIJa1m8dZhZwokRV_dmWc8FS_s,"1 East 15th Street, New York",FALSE,
,,,,southwest,,,,
Malibu Diner,OPERATIONAL,40.7440762,-73.9949218,northeast,ChIJezeaLLtZwokRsqujCrko9oY,"163 West 23rd Street, New York",TRUE,
,,,,southwest,,,,
15 East Sushi,OPERATIONAL,40.7364067,-73.9921886,northeast,ChIJ55Xnd5hZwokREHfJlD3-M10,"15 East 15th Street, New York",TRUE,
,,,,southwest,,,,
Casa Mono,OPERATIONAL,40.7358936,-73.9871361,northeast,ChIJUd1sYJ9ZwokRRkqniQdJ144,"52 Irving Place, New York",TRUE,
,,,,southwest,,,,
The Cellar,OPERATIONAL,40.7389768,-73.9896947,northeast,ChIJXxWGzaNZwokRJhkgaJhyBtE,"900 Broadway, New York",,
,,,,southwest,,,,
Corkbuzz,OPERATIONAL,40.7350748,-73.9931413,northeast,ChIJXZCzR5hZwokRV2dYo9jwG14,"13 East 13th Street, New York",FALSE,
,,,,southwest,,,,
The Commons Chelsea,OPERATIONAL,40.7409417,-73.998175,northeast,ChIJiXJVzLtZwokRbeoV2XxLOdg,"128 7th Avenue, New York",TRUE,
,,,,southwest,,,,
Slate NY,OPERATIONAL,40.7412155,-73.9931854,northeast,ChIJSZr2ZqNZwokRN89ggdSWGiQ,"54 West 21st Street, New York",FALSE,
,,,,southwest,,,,
Manzo,CLOSED_TEMPORARILY,40.742087,-73.989634,northeast,ChIJjyX2GqRZwokRpoGN9PdmAtQ,"200 5th Avenue, New York",,TRUE
,,,,southwest,,,,
Basta Pasta,OPERATIONAL,40.7388459,-73.9939961,northeast,ChIJ8ZR_2qJZwokRbgMBJB59zRo,"37 West 17th Street, New York",FALSE,
,,,,southwest,,,,
The Triple Crown Ale House,OPERATIONAL,40.747716,-73.993389,northeast,ChIJDUiwlK9ZwokRgEzA-oCI9a4,"330 7th Avenue, New York",TRUE,
,,,,southwest,,,,
Laut,OPERATIONAL,40.7376158,-73.9910302,northeast,ChIJv_vCZ6JZwokR_2lI72wJsl0,"15 East 17th Street, New York",TRUE,
,,,,southwest,,,,
Cafe Beyond,OPERATIONAL,40.7400601,-73.9945931,northeast,ChIJA6lpLaNZwokRCcCUqeR0sow,"620 6th Avenue, New York",TRUE,
,,,,southwest,,,,
Corbet & Conley,OPERATIONAL,40.7358871,-73.9916967,northeast,ChIJvb1CeZ9ZwokRTgnV02cBaMI,"145 East 17th Street Frnt 1 between Irving Pl &, 3rd Avenue, New York",TRUE,
,,,,southwest,,,,
The Stand,OPERATIONAL,40.7353369,-73.9884791,northeast,ChIJgWBWFaBZwokRfOWdBPY5Y0o,"116 East 16th Street, New York",FALSE,
,,,,southwest,,,,
Maison Kayser,CLOSED_TEMPORARILY,40.7400978,-73.9897218,northeast,ChIJsd413aNZwokRuqOMUEXJI0g,"921 Broadway, New York",,TRUE
,,,,southwest,,,,
Mari Vanna,OPERATIONAL,40.7388833,-73.988525,northeast,ChIJlYOUfqFZwokRnporFe9pTeE,"41 East 20th Street, New York",FALSE,
,,,,southwest,,,,
Panera Bread,OPERATIONAL,40.7350596,-73.9894768,northeast,ChIJDUiwlK9ZwokRVcZLAm2AtV0,"10 Union Square East, New York",TRUE,
,,,,southwest,,,,
Spice Thai,OPERATIONAL,40.7345363,-73.9918552,northeast,ChIJRaX5VZhZwokR_jt_WR_8GSU,"39 East 13th Street, Manhattan",TRUE,
,,,,southwest,,,,
The House,CLOSED_TEMPORARILY,40.7361399,-73.9877486,northeast,ChIJ2WmJ4aFZwokRW8-F1q9LpLg,"121 East 17th Street, New York",,TRUE
,,,,southwest,,,,
Flex Mussels,OPERATIONAL,40.7374687,-73.999649,northeast,ChIJAcBSHJZZwokRazkXAYHg1hE,"154 West 13th Street, New York",FALSE,
,,,,southwest,,,,
Smithfield Hall NYC,OPERATIONAL,40.7447306,-73.9935444,northeast,ChIJkzk9I6VZwokRJpievwzdRu0,"138 West 25th Street, New York",TRUE,
,,,,southwest,,,,
Mason Jar NYC,OPERATIONAL,40.744902,-73.983696,northeast,ChIJ29Qy5adZwokRKW4wwh6-Opw,"43 East 30th Street, New York",TRUE,
,,,,southwest,,,,
